pax_reserva;pax_reserva_menor;pax_real;dia_reserva;id_visita;dia_visita;hora_visita;id_idioma_visita;id_origen_reserva;realitzat
1;0;1;21/10/2021;2;1/28/2022;160000;1;5;0
1;0;1;21/10/2021;1;1/29/2022;100000;1;5;1
2;0;2;22/10/2021;1;01/03/2022;100000;1;5;0
2;0;2;22/10/2021;3;01/05/2022;110000;1;5;0
2;0;2;22/10/2021;2;1/17/2022;160000;1;5;1
2;0;2;22/10/2021;1;12/20/2021;100000;1;5;0
1;0;1;22/10/2021;2;12/04/2021;160000;1;5;0
1;0;1;22/10/2021;3;12/05/2021;110000;1;5;0
1;0;1;22/10/2021;1;12/03/2021;100000;1;5;0
2;0;2;22/10/2021;2;12/11/2021;160000;1;5;0
2;0;2;22/10/2021;1;12/12/2021;100000;1;5;0
3;0;3;22/10/2021;1;01/07/2022;100000;1;5;0
4;0;3;22/10/2021;1;01/03/2022;100000;1;5;1
2;0;2;22/10/2021;1;12/08/2021;100000;1;5;1
2;0;2;22/10/2021;1;12/26/2021;100000;1;5;1
3;0;3;22/10/2021;1;12/03/2021;100000;1;5;1
5;0;5;22/10/2021;1;12/28/2021;100000;1;5;1
4;0;4;23/10/2021;1;01/09/2022;100000;1;5;1
1;0;1;23/10/2021;1;12/28/2021;103000;2;5;0
2;0;2;23/10/2021;1;01/07/2022;100000;1;5;1
2;0;2;23/10/2021;2;01/07/2022;160000;1;5;1
3;0;3;23/10/2021;2;12/05/2021;160000;1;5;1
4;0;4;23/10/2021;1;12/04/2021;100000;1;5;1
3;0;3;23/10/2021;1;12/04/2021;100000;1;5;1
2;0;2;23/10/2021;1;12/19/2021;103000;2;5;1
2;0;2;23/10/2021;1;12/04/2021;100000;1;5;1
2;0;2;24/10/2021;2;12/20/2021;160000;1;5;0
4;0;4;24/10/2021;1;12/31/2021;100000;1;5;1
2;0;2;24/10/2021;1;12/08/2021;100000;1;5;1
4;0;4;24/10/2021;2;01/04/2022;160000;1;5;1
2;0;2;24/10/2021;1;12/04/2021;100000;1;5;1
2;0;2;24/10/2021;1;12/04/2021;100000;1;5;0
2;0;2;24/10/2021;1;12/06/2021;100000;1;5;1
2;0;2;24/10/2021;1;2/14/2022;100000;1;5;0
3;0;3;24/10/2021;2;12/07/2021;160000;1;5;1
2;0;2;24/10/2021;1;06/08/2022;100000;1;5;0
4;0;4;24/10/2021;1;12/06/2021;100000;1;5;1
2;0;2;24/10/2021;1;12/05/2021;100000;1;5;1
3;0;3;24/10/2021;1;12/05/2021;100000;1;5;1
4;0;4;24/10/2021;1;12/05/2021;100000;1;5;1
2;0;2;24/10/2021;1;12/05/2021;100000;1;5;0
3;0;3;24/10/2021;1;01/06/2022;100000;1;5;0
2;0;2;24/10/2021;1;02/04/2022;100000;1;5;1
2;0;2;24/10/2021;3;02/05/2022;110000;1;5;1
2;0;2;25/10/2021;1;12/26/2021;103000;2;5;0
2;0;2;25/10/2021;2;12/26/2021;160000;2;5;0
4;0;4;25/10/2021;1;12/08/2021;100000;1;5;1
2;0;2;25/10/2021;1;6/13/2022;100000;1;5;0
3;0;3;25/10/2021;2;12/06/2021;160000;1;5;0
3;0;3;25/10/2021;1;12/07/2021;100000;1;5;0
2;0;2;25/10/2021;1;12/02/2021;100000;1;5;1
2;0;2;25/10/2021;2;12/06/2021;160000;1;5;1
2;0;2;25/10/2021;1;12/05/2021;100000;1;5;1
3;0;3;25/10/2021;2;12/04/2021;160000;1;5;1
1;0;1;25/10/2021;1;12/05/2021;100000;1;5;0
2;0;2;25/10/2021;1;01/02/2022;100000;1;5;1
2;0;2;25/10/2021;1;01/12/2022;100000;1;5;1
4;0;4;25/10/2021;2;12/05/2021;160000;1;5;1
1;0;1;25/10/2021;1;12/18/2021;100000;1;5;0
2;0;2;25/10/2021;1;12/05/2021;100000;1;5;1
4;0;3;25/10/2021;1;12/05/2021;100000;1;5;1
3;0;3;25/10/2021;1;12/04/2021;100000;1;5;1
2;0;2;25/10/2021;1;12/26/2021;100000;1;5;0
2;0;2;26/10/2021;1;12/09/2021;100000;1;5;0
2;0;2;26/10/2021;1;12/05/2021;100000;1;5;1
4;0;4;26/10/2021;1;12/05/2021;100000;1;5;0
3;0;3;26/10/2021;1;7/30/2022;100000;1;5;1
4;0;4;26/10/2021;1;12/05/2021;100000;1;5;1
2;0;2;26/10/2021;1;3/16/2022;100000;1;5;0
2;0;2;26/10/2021;2;3/16/2022;160000;1;5;0
2;0;2;26/10/2021;1;12/05/2021;100000;1;5;1
4;0;4;26/10/2021;2;12/06/2021;160000;1;5;1
1;0;1;26/10/2021;1;12/04/2021;100000;1;5;0
1;0;1;26/10/2021;2;12/05/2021;160000;1;5;0
6;0;6;26/10/2021;1;12/05/2021;100000;1;5;1
4;0;4;26/10/2021;1;01/05/2022;100000;1;5;0
3;0;3;27/10/2021;1;12/28/2021;100000;1;5;0
6;0;6;27/10/2021;1;12/04/2021;100000;1;5;1
3;0;3;27/10/2021;1;12/04/2021;100000;1;5;1
3;0;3;27/10/2021;1;12/07/2021;100000;1;5;1
3;0;3;27/10/2021;1;12/05/2021;100000;1;5;1
2;0;2;27/10/2021;1;12/02/2021;100000;1;5;1
2;0;2;27/10/2021;2;12/02/2021;160000;1;5;1
2;0;2;27/10/2021;3;12/03/2021;110000;1;5;1
2;0;2;27/10/2021;3;12/29/2021;110000;1;5;0
4;0;3;27/10/2021;1;12/05/2021;100000;1;5;1
1;0;1;28/10/2021;1;03/10/2022;100000;1;5;0
2;0;2;28/10/2021;1;12/05/2021;100000;1;5;1
3;0;3;28/10/2021;2;12/06/2021;160000;1;5;1
4;0;4;28/10/2021;1;12/05/2021;100000;1;5;1
3;0;2;28/10/2021;1;12/06/2021;100000;1;5;1
1;0;1;28/10/2021;1;12/23/2021;100000;1;5;0
1;0;1;28/10/2021;2;12/27/2021;160000;1;5;0
1;0;1;28/10/2021;3;12/31/2021;110000;1;5;0
2;0;2;28/10/2021;1;12/05/2021;100000;1;5;1
2;0;2;28/10/2021;1;12/29/2021;100000;1;5;0
2;0;2;29/10/2021;1;03/08/2022;100000;1;5;1
1;0;1;29/10/2021;2;12/05/2021;160000;1;5;0
3;0;3;29/10/2021;1;12/05/2021;100000;1;5;1
1;0;1;29/10/2021;2;12/05/2021;160000;1;5;0
1;0;1;29/10/2021;1;2/24/2022;100000;1;5;0
2;0;2;29/10/2021;1;12/05/2021;100000;1;5;1
1;0;1;30/10/2021;1;12/05/2021;100000;1;5;1
2;0;2;30/10/2021;1;12/05/2021;100000;1;5;1
1;0;1;30/10/2021;1;02/07/2022;100000;1;5;0
2;0;2;30/10/2021;1;12/04/2021;100000;1;5;1
2;0;2;30/10/2021;1;12/05/2021;100000;1;5;1
2;0;2;30/10/2021;2;12/04/2021;160000;1;5;1
2;0;2;30/10/2021;3;12/26/2021;110000;1;5;0
2;0;2;30/10/2021;2;12/26/2021;160000;1;5;0
1;0;1;30/10/2021;2;12/05/2021;160000;1;5;0
2;0;2;30/10/2021;3;12/05/2021;110000;1;5;0
1;0;1;30/10/2021;1;12/08/2021;100000;1;5;0
3;0;3;30/10/2021;1;12/23/2021;100000;1;5;0
3;0;3;30/10/2021;3;12/26/2021;110000;1;5;0
3;0;3;30/10/2021;2;12/27/2021;160000;1;5;0
2;0;2;30/10/2021;1;12/05/2021;100000;1;5;1
2;0;2;30/10/2021;1;12/05/2021;100000;1;5;1
1;0;1;30/10/2021;1;01/02/2022;103000;2;5;0
4;0;4;30/10/2021;2;12/08/2021;160000;1;5;1
2;0;2;31/10/2021;1;12/06/2021;100000;1;5;1
2;0;2;31/10/2021;1;12/04/2021;100000;1;5;1
2;0;2;31/10/2021;1;12/06/2021;100000;1;5;0
4;0;4;31/10/2021;1;01/07/2022;100000;1;5;1
3;0;3;31/10/2021;1;12/06/2021;100000;1;5;1
2;0;2;01/11/2021;1;12/06/2021;100000;1;5;1
2;0;2;01/11/2021;1;12/06/2021;100000;1;5;0
2;0;2;01/11/2021;1;12/30/2021;163000;1;5;0
4;0;4;01/11/2021;1;12/05/2021;100000;1;5;1
2;0;2;01/11/2021;1;12/05/2021;100000;1;5;0
2;0;2;01/11/2021;2;12/04/2021;160000;1;5;0
2;0;2;01/11/2021;1;12/03/2021;100000;1;5;0
2;0;2;01/11/2021;2;12/06/2021;160000;1;5;1
3;0;3;01/11/2021;1;12/05/2021;100000;1;5;0
4;0;4;01/11/2021;1;12/04/2021;100000;1;5;0
3;0;3;01/11/2021;1;12/04/2021;100000;1;5;0
4;0;4;01/11/2021;2;12/05/2021;160000;1;5;1
2;0;2;01/11/2021;2;01/06/2022;160000;1;5;0
4;0;4;01/11/2021;1;12/15/2021;100000;1;5;1
4;0;4;01/11/2021;2;12/06/2021;160000;1;5;1
2;0;2;01/11/2021;1;12/26/2021;100000;1;5;1
2;0;2;01/11/2021;1;12/07/2021;100000;1;5;1
2;0;2;01/11/2021;2;12/26/2021;160000;1;5;1
4;0;4;01/11/2021;1;12/05/2021;100000;1;5;1
1;0;1;02/11/2021;2;12/18/2021;160000;1;5;1
2;0;2;02/11/2021;1;12/27/2021;100000;1;5;0
2;0;2;02/11/2021;3;12/29/2021;110000;1;5;0
2;0;2;02/11/2021;1;12/28/2021;100000;1;5;1
4;0;4;02/11/2021;1;12/05/2021;100000;1;5;1
3;0;3;02/11/2021;1;12/06/2021;100000;1;5;1
2;0;2;02/11/2021;1;1/30/2022;100000;1;5;1
4;0;4;02/11/2021;1;06/09/2022;100000;1;5;1
3;0;3;02/11/2021;1;12/05/2021;100000;1;5;1
4;0;4;02/11/2021;1;12/06/2021;100000;1;5;1
3;0;3;02/11/2021;1;12/23/2021;100000;1;5;1
3;0;3;02/11/2021;2;12/23/2021;160000;1;5;1
2;0;2;02/11/2021;1;12/05/2021;100000;1;5;1
1;0;1;02/11/2021;1;12/03/2021;100000;1;5;0
1;0;1;03/11/2021;3;12/04/2021;110000;1;5;0
2;0;2;03/11/2021;1;12/04/2021;100000;1;5;1
2;0;2;03/11/2021;2;12/05/2021;160000;1;5;1
6;0;6;03/11/2021;3;12/12/2021;110000;1;5;1
6;0;6;03/11/2021;3;12/12/2021;110000;1;5;1
2;0;2;03/11/2021;1;12/06/2021;100000;1;5;0
6;0;6;03/11/2021;1;12/29/2021;100000;1;5;0
5;0;5;03/11/2021;1;12/04/2021;100000;1;5;1
5;0;5;03/11/2021;1;12/05/2021;100000;1;5;0
5;0;5;03/11/2021;2;12/05/2021;160000;1;5;0
2;0;2;03/11/2021;1;2/20/2022;100000;1;5;0
2;0;2;03/11/2021;1;6/21/2022;100000;1;5;0
2;0;2;03/11/2021;1;12/05/2021;100000;1;5;1
2;0;2;03/11/2021;1;12/04/2021;100000;1;5;1
2;0;2;04/11/2021;2;12/05/2021;160000;1;5;1
2;0;2;04/11/2021;3;12/18/2021;110000;1;5;0
2;0;2;04/11/2021;1;12/26/2021;100000;1;5;0
2;0;2;04/11/2021;2;12/26/2021;160000;1;5;1
2;0;2;04/11/2021;1;12/05/2021;100000;1;5;1
2;0;2;04/11/2021;1;12/05/2021;100000;1;5;1
2;0;2;04/11/2021;2;12/05/2021;160000;1;5;1
3;0;3;04/11/2021;1;01/12/2022;100000;1;5;0
2;0;2;04/11/2021;1;12/18/2021;100000;1;5;1
1;0;1;04/11/2021;1;12/15/2021;100000;1;5;0
2;0;2;04/11/2021;1;12/06/2021;100000;1;5;1
2;0;3;04/11/2021;2;12/07/2021;160000;1;5;1
1;0;1;04/11/2021;1;12/29/2021;100000;1;5;1
3;0;3;04/11/2021;1;12/10/2021;100000;1;5;0
3;0;3;04/11/2021;2;12/05/2021;160000;1;5;0
2;0;2;04/11/2021;1;12/04/2021;100000;1;5;0
2;0;2;04/11/2021;2;12/12/2021;160000;1;5;0
3;0;3;04/11/2021;1;12/06/2021;100000;1;5;1
2;0;2;04/11/2021;1;12/06/2021;100000;1;5;0
1;0;1;04/11/2021;1;12/17/2021;100000;1;5;1
2;0;2;04/11/2021;1;12/05/2021;100000;1;5;1
1;0;1;04/11/2021;1;12/21/2021;100000;1;5;1
1;0;1;04/11/2021;2;12/21/2021;160000;1;5;0
2;0;2;04/11/2021;1;12/06/2021;100000;1;5;1
